SourceId,ra,dec,G
   3496369705573882112, 189.86393, -26.80610,  19.015
   3496375027039965696, 189.87704, -26.71022,  18.281
   3496369769996679936, 189.83388, -26.81930,  19.742
   3496372415696535168, 189.76546, -26.81868,  18.690
   3496374447217944320, 189.86291, -26.75438,  19.179
   3496374923959496320, 189.84954, -26.70799,  18.812
   3496372901028157440, 189.82639, -26.78504,  19.396
   3496394547665075712, 189.98469, -26.72996,  17.111
   3496372415696535040, 189.77207, -26.81765,  19.461
   3496375031333670912, 189.87531, -26.71294,  14.054
   3496371973314902528, 189.92261, -26.74262,  19.293
   3496372042036434176, 189.91857, -26.72336,  19.470
   3496395883398110592, 190.03436, -26.67876,  18.636
   3496371938955100032, 189.91901, -26.74585,  19.586
   3496369701277229824, 189.86814, -26.80857,  19.459
   3496371732798927232, 189.92626, -26.75203,  19.621
   3496374825173019520, 189.84006, -26.73075,  19.574
   3496375645512149504, 189.81762, -26.70752,  18.447
   3496375061396618240, 189.88688, -26.70117,  18.791
   3496400040925235840, 189.84501, -26.61110,  19.350
   3496371698438991488, 189.94010, -26.76126,  16.697
   3496371629717277184, 189.88558, -26.74519,  18.385
   3496371560998393088, 189.90634, -26.75689,  19.383
   3496371938957357696, 189.90610, -26.74621,  19.692
   3496374103620634496, 189.78320, -26.72941,  16.168
   3496374412855568768, 189.84408, -26.76066,  19.138
   3496374447217828736, 189.85381, -26.75891,  15.581
   3496371492280329728, 189.87143, -26.76345,  13.836
   3496375271849947008, 189.87923, -26.69303,  19.024
   3496374515934959616, 189.84768, -26.74969,  19.521
   3496371354838963072, 189.91482, -26.77081,  17.937
   3496374653374514304, 189.86056, -26.72486,  18.000
   3496374515937494784, 189.84972, -26.74711,  15.126
   3496371354839138944, 189.90744, -26.76401,  19.560
   3496371354841376512, 189.91238, -26.77378,  19.311
   3496374550297073792, 189.87124, -26.74558,  15.578
   3496374825173172224, 189.84468, -26.72302,  19.071
   3496372106461287936, 189.93890, -26.71521,  14.449
   3496369671211551488, 189.85624, -26.81403,  19.842
   3496374687733652096, 189.83192, -26.74532,  17.185
   3496371560999996544, 189.89140, -26.75717,  18.576
   3496372042036431104, 189.90592, -26.72317,  16.914
   3496368704848003456, 189.84779, -26.86449,  16.790
   3496371419264626048, 189.87211, -26.77985,  18.545
   3496374515934894336, 189.84515, -26.75186,  19.903
   3496375031331724672, 189.88166, -26.71727,  19.297
   3496374447217829120, 189.85115, -26.75812,  19.403
   3496374447217945984, 189.86063, -26.75423,  19.116
   3496375031333670144, 189.88212, -26.71552,  19.624
   3496374030604399360, 189.78596, -26.73747,  19.473
   3496371213106195712, 189.89164, -26.78106,  18.584
   3496371526637657344, 189.88862, -26.76368,  19.333
   3496375890327137408, 189.78572, -26.68169,  19.176
   3496371595359660416, 189.87197, -26.75052,  16.756
   3496375164477885696, 189.90753, -26.69273,  19.898
   3496375267555255808, 189.88038, -26.69673,  19.053
   3496374550297074304, 189.86466, -26.74462,  18.222
   3496375100051255424, 189.91001, -26.70118,  19.129
   3496371595357198720, 189.87772, -26.75751,  18.756
   3496371801518407296, 189.95561, -26.74759,  18.683
   3496372007674660352, 189.90230, -26.73583,  19.507
   3496374550297074176, 189.86397, -26.74485,  15.722
   3496371870237740800, 189.94759, -26.73234,  18.784
   3496371595357358208, 189.88703, -26.75622,  18.095
   3496374412855569664, 189.84316, -26.76011,  19.001
   3496371350546941824, 189.91066, -26.76006,  19.074
   3496375340569424384, 189.86763, -26.68943,  18.489
   3496370388471998336, 189.91761, -26.81134,  19.153
   3496374030604411904, 189.79202, -26.72892,  18.564
   3496374447215321472, 189.85640, -26.76212,  19.109
   3496374619016740736, 189.86176, -26.73854,  18.136
   3496372759293934336, 189.80692, -26.81161,  18.948
   3496358023262820352, 189.96982, -26.86956,  19.735
   3496374550297088896, 189.86586, -26.74832,  17.762
   3496369361976479616, 189.81864, -26.83734,  19.428
   3496421275243461760, 189.73576, -26.70842,  19.364
   3496371492277822720, 189.87387, -26.76660,  19.002
   3496355991741445632, 189.86765, -26.94697,  19.082
   3496371178748088448, 189.87231, -26.79538,  19.552
   3496372007674514688, 189.89583, -26.74299,  18.726
   3496371595358552064, 189.87838, -26.76002,  18.464
   3496371973316937472, 189.92286, -26.73969,  19.050
   3496371934663506560, 189.90678, -26.74528,  18.893
   3496369082801851648, 189.82678, -26.85647,  18.148
   3496447697882407936, 189.92500, -26.52156,  19.344
   3496373343409512320, 189.72129, -26.79898,  18.563
   3496375031331706752, 189.87131, -26.71836,  18.745
   3496374825173552384, 189.84734, -26.72804,  19.138
   3496371457917998464, 189.86259, -26.77884,  19.253
   3496372140818832000, 189.92575, -26.71250,  18.983
   3496371934663506688, 189.90778, -26.74435,  18.535
   3496374309776824320, 189.75781, -26.71531,  19.839
   3496371767158507392, 189.93111, -26.74179,  19.932
   3496414579389580928, 189.64043, -26.79593,  19.643
   3496374859533014528, 189.85929, -26.71555,  19.503
   3496372140821947776, 189.91402, -26.71169,  15.426
   3496372621855006464, 189.75577, -26.80086,  18.932
   3496374069260708608, 189.76840, -26.73572,  19.633
   3496369465055694208, 189.84152, -26.84486,  18.615
   3496374412855583232, 189.84642, -26.75944,  19.213
   3496374717802299776, 189.82412, -26.73519,  18.699
   3496370903868136704, 189.94043, -26.78319,  19.473
   3496372072101543552, 189.93704, -26.72417,  19.669
   3496371831581159040, 189.96037, -26.73052,  19.821
   3496370216673294592, 189.94620, -26.81466,  19.199
   3496371423558260608, 189.87115, -26.78124,  19.287
   3496373515208856320, 189.72597, -26.77225,  17.648
   3496374962614174848, 189.88359, -26.72889,  19.298
   3496374619016725120, 189.85965, -26.73955,  17.907
   3496372759293935104, 189.79377, -26.81151,  18.955
   3496374717802300288, 189.83320, -26.73433,  18.947
   3496358229421252224, 189.96452, -26.86287,  13.011
   3496395642879921920, 189.94353, -26.68707,  19.091
   3496396123916292992, 189.99506, -26.66458,  18.590
   3496375508073163904, 189.80442, -26.72789,  16.866
   3496375443648654720, 189.87571, -26.67326,  19.314
   3496375336274551552, 189.86868, -26.68586,  19.781
   3496371217399828480, 189.88624, -26.78548,  19.270
   3496374717802300032, 189.83090, -26.73427,  18.032
   3496375920388835584, 189.80344, -26.68526,  19.896
   3496371938955531392, 189.91255, -26.74293,  19.070
   3496375031331707392, 189.87054, -26.71811,  19.343
   3496373102891391104, 189.77461, -26.77951,  19.508
   3496375443648654464, 189.87745, -26.67385,  19.913
   3496374928252504448, 189.83925, -26.70700,  19.685
   3496372351273716736, 189.77254, -26.82770,  16.631
   3496374752158919680, 189.81421, -26.72890,  19.792
   3496370113594048768, 189.93180, -26.82973,  19.947
   3496369980449220224, 189.83645, -26.78535,  19.855
   3496395372298934272, 189.96749, -26.70691,  17.764
   3496371595357110272, 189.87672, -26.76177,  15.903
   3496369911732317824, 189.85964, -26.79744,  18.630
   3496375164477836800, 189.89628, -26.68971,  19.875
   3496395612817103232, 189.96099, -26.70021,  19.347
   3496374653374497152, 189.86099, -26.72595,  18.092
   3496371492277824512, 189.86132, -26.76297,  18.875
   3496356060460923136, 189.85095, -26.94570,  19.766
   3496374515935115136, 189.83778, -26.74382,  19.293
   3496371389198492928, 189.86536, -26.79335,  19.439
   3496375817309614848, 189.79611, -26.69318,  19.514
   3496369980449219584, 189.84261, -26.78751,  19.001
   3496374717802300416, 189.83157, -26.73386,  19.167
   3496369980449221504, 189.85284, -26.78845,  19.680
   3496374653374585856, 189.86610, -26.71669,  19.090
   3496369911732314368, 189.84803, -26.80027,  17.970
   3496374717799700224, 189.83217, -26.73788,  13.497
   3496371183040062976, 189.87594, -26.79588,  19.257
   3496374889598391936, 189.83111, -26.71765,  18.823
   3496369666917467136, 189.85417, -26.81870,  19.335
   3496369499415435904, 189.86087, -26.83822,  18.944
   3496371423558261760, 189.87295, -26.78120,  19.693
   3496372007675335424, 189.89973, -26.72726,  19.164
   3496375336274552576, 189.86432, -26.69169,  19.754
   3496374962612142848, 189.88583, -26.73268,  18.604
   3496371384906520960, 189.87297, -26.79063,  18.750
   3496371560998392192, 189.89198, -26.75341,  19.600
   3496368606062236672, 189.90925, -26.85791,  17.466
   3496371217399831936, 189.89259, -26.78635,  19.222
   3496424127101843328, 189.73345, -26.59108,  19.208
   3496369499415434624, 189.85117, -26.84086,  19.187
   3496374825173554176, 189.84498, -26.72560,  19.415
   3496374653374497280, 189.86067, -26.72605,  17.297
   3496375336274552448, 189.86134, -26.68916,  19.145
   3496371762863883776, 189.93255, -26.75528,  19.823
   3496371595357113728, 189.87253, -26.76062,  19.437
   3496375370637367552, 189.88992, -26.67951,  19.227
   3496424470699226496, 189.77140, -26.59268,  19.306
   3496374515934894464, 189.84504, -26.75218,  19.688
   3496374550297091328, 189.85735, -26.74395,  19.056
   3496369499415433984, 189.85784, -26.84540,  15.889
   3496374893892599936, 189.83172, -26.72265,  19.153
   3496369499415436544, 189.85783, -26.83615,  18.737
   3496375679870666368, 189.82722, -26.68867,  18.687
   3496421034725289856, 189.67659, -26.71361,  19.668
   3496371560997617536, 189.88886, -26.75712,  19.350
   3496368537342759552, 189.91127, -26.85963,  16.597
   3496371183040062080, 189.88191, -26.79832,  16.396
   3496371629717279744, 189.87978, -26.74505,  18.401
   3496372621854967168, 189.75770, -26.81663,  18.647
   3496371423558260736, 189.87696, -26.78269,  18.878
   3496357026830403328, 190.03692, -26.90169,  13.420
   3496374412855500032, 189.84618, -26.77405,  19.163
   3496369499415433344, 189.84944, -26.84432,  19.715
   3496371183040062336, 189.87463, -26.79612,  19.425
   3496375714230401408, 189.80727, -26.69162,  18.451
   3496369632557727872, 189.87373, -26.82042,  19.250
   3496375546729729792, 189.80786, -26.70786,  18.341
   3496369911732316032, 189.84930, -26.79820,  18.587
   3496374477281532416, 189.83400, -26.76457,  17.701
   3496375271849946624, 189.88523, -26.69491,  19.855
   3496374584654693760, 189.87158, -26.73905,  14.251
   3496374717799701888, 189.83787, -26.73797,  16.756
   3496370358408914048, 189.90171, -26.81297,  19.051
   3496371457917999744, 189.85054, -26.77544,  19.662
   3496371938955015936, 189.90310, -26.74647,  19.470
   3496369735636650496, 189.82890, -26.82830,  13.155
   3496374511641271552, 189.83716, -26.74320,  17.236
   3496375031331693824, 189.87755, -26.72232,  18.508
   3496370495845325568, 189.92274, -26.79454,  19.098
   3496374893894701824, 189.82943, -26.71306,  15.991
   3496374584655022464, 189.88014, -26.73108,  18.993
   3496371767156476928, 189.93199, -26.74474,  19.848
   3496372415696902528, 189.76630, -26.81769,  19.109
   3496375752888195072, 189.83011, -26.68124,  19.569
   3496374550294765568, 189.87038, -26.74410,  16.202
   3496373446488761856, 189.73396, -26.78415,  19.155
   3496374447215398016, 189.85904, -26.75705,  19.321
   3496371595357372416, 189.87524, -26.74786,  14.399
   3496374412855586944, 189.84465, -26.75838,  19.590
   3496372076394229504, 189.92467, -26.72766,  19.837
   3496375508073166720, 189.80735, -26.72483,  19.179
   3496372007674716544, 189.90007, -26.72879,  18.775
   3496374786518660608, 189.81968, -26.72718,  17.886
   3496371423559864448, 189.87646, -26.76711,  17.827
   3496374584655022080, 189.87974, -26.73036,  19.203
   3496373034171901184, 189.77384, -26.78533,  19.017
   3496370220967390976, 189.94636, -26.81233,  19.788
   3496374477281533696, 189.83925, -26.75677,  16.295
   3496371183040065024, 189.87465, -26.79350,  19.732
   3496374825175224960, 189.84566, -26.71740,  19.146
