#NUMBER OF AGES= 1 MAGS= 3
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2466 9.5084E-04 9.5084E-04  -1.24   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Gaia DR2 Revised (Vega)
#----------------------------------------------------       
#AGE=11.100 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo  Gaia_G Gaia_BP Gaia_RP
 233  0.847958  3.6960  2.2778  1.8263  0.2003  0.6289 -0.3891
 234  0.848049  3.6943  2.2336  1.8634  0.1109  0.5444 -0.4825
 235  0.848135  3.6932  2.2011  1.8911  0.0438  0.4804 -0.5524
 236  0.848217  3.6933  2.1984  1.8947  0.0335  0.4691 -0.5620
 237  0.848304  3.6919  2.1601  1.9273 -0.0453  0.3942 -0.6442
 238  0.848386  3.6894  2.1032  1.9745 -0.1578  0.2889 -0.7626
 239  0.848459  3.6871  2.0498  2.0187 -0.2629  0.1906 -0.8731
 240  0.848526  3.6850  2.0018  2.0583 -0.3568  0.1028 -0.9721
 241  0.848587  3.6835  1.9682  2.0858 -0.4212  0.0428 -1.0402
 242  0.848648  3.6825  1.9456  2.1044 -0.4650  0.0022 -1.0862
 243  0.848707  3.6799  1.8897  2.1500 -0.5719 -0.0973 -1.1993
 244  0.848759  3.6772  1.8321  2.1970 -0.6819 -0.1991 -1.3155
 245  0.848807  3.6747  1.7765  2.2422 -0.7875 -0.2969 -1.4275
 246  0.848850  3.6719  1.7204  2.2877 -0.8935 -0.3947 -1.5399
 247  0.848889  3.6693  1.6648  2.3327 -0.9983 -0.4912 -1.6510
 248  0.848923  3.6668  1.6117  2.3757 -1.0974 -0.5820 -1.7564
 249  0.848954  3.6643  1.5615  2.4161 -1.1903 -0.6670 -1.8556
 250  0.848983  3.6618  1.5112  2.4564 -1.2823 -0.7507 -1.9538
 251  0.849009  3.6593  1.4622  2.4954 -1.3711 -0.8311 -2.0489
 252  0.849034  3.6569  1.4146  2.5332 -1.4568 -0.9084 -2.1407
 253  0.849055  3.6544  1.3669  2.5707 -1.5412 -0.9842 -2.2314
 254  0.849075  3.6518  1.3201  2.6074 -1.6233 -1.0577 -2.3199
 255  0.849094  3.6493  1.2743  2.6432 -1.7030 -1.1285 -2.4060
 256  0.849111  3.6468  1.2290  2.6784 -1.7810 -1.1976 -2.4904
 257  0.849127  3.6443  1.1849  2.7128 -1.8567 -1.2643 -2.5724
 258  0.849142  3.6419  1.1415  2.7463 -1.9301 -1.3287 -2.6523
 259  0.849155  3.6395  1.0990  2.7793 -2.0019 -1.3914 -2.7302
 260  0.849167  3.6371  1.0571  2.8114 -2.0715 -1.4520 -2.8064
 261  0.849179  3.6346  1.0159  2.8430 -2.1393 -1.5109 -2.8806
 262  0.849191  3.6322  0.9753  2.8740 -2.2054 -1.5679 -2.9531
 263  0.849200  3.6299  0.9358  2.9041 -2.2692 -1.6227 -3.0232
 264  0.849210  3.6275  0.8968  2.9337 -2.3315 -1.6759 -3.0918
 265  0.849219  3.6252  0.8582  2.9628 -2.3919 -1.7270 -3.1587
 266  0.849228  3.6228  0.8208  2.9910 -2.4503 -1.7760 -3.2234
 267  0.849235  3.6205  0.7838  3.0188 -2.5074 -1.8237 -3.2869
 268  0.849243  3.6183  0.7476  3.0460 -2.5631 -1.8700 -3.3490
 269  0.849249  3.6161  0.7123  3.0727 -2.6178 -1.9161 -3.4099
 270  0.849255  3.6140  0.6776  3.0989 -2.6711 -1.9606 -3.4693
 271  0.849261  3.6120  0.6439  3.1244 -2.7227 -2.0036 -3.5271
 272  0.849267  3.6099  0.6108  3.1494 -2.7733 -2.0459 -3.5838
 273  0.849273  3.6079  0.5784  3.1739 -2.8226 -2.0875 -3.6392
 274  0.849278  3.6060  0.5469  3.1978 -2.8699 -2.1266 -3.6926
 275  0.849283  3.6042  0.5160  3.2211 -2.9160 -2.1644 -3.7448
 276  0.849287  3.6023  0.4854  3.2440 -2.9596 -2.1986 -3.7950
 277  0.849292  3.6005  0.4561  3.2662 -3.0027 -2.2332 -3.8441
 278  0.849296  3.5987  0.4280  3.2875 -3.0438 -2.2657 -3.8913
 279  0.849298  3.5973  0.4037  3.3061 -3.0796 -2.2934 -3.9323
