SourceId,ra,dec,G
   5413914234906022784, 154.75953, -46.13335,  19.891
   5413913478991777920, 154.71517, -46.13482,  19.736
   5413904446678532480, 155.04266, -46.14433,  18.885
   5413893382846935424, 155.11054, -46.36557,  18.180
   5413915093899518208, 154.71790, -46.09037,  18.548
   5413890939004743296, 155.10844, -46.49175,  19.131
   5413902071560371200, 155.22953, -46.18765,  19.014
   5413896578302601216, 155.04087, -46.34154,  19.412
   5413908977867657216, 154.85719, -46.25822,  17.762
   5413904824635656832, 155.04509, -46.14042,  19.260
   5413910317897573888, 154.92601, -46.19290,  18.670
   5413913444632029312, 154.69875, -46.14759,  19.526
   5413904270583625984, 155.02841, -46.18961,  18.489
   5413910008659927168, 154.90452, -46.19418,  17.498
   5413909360120994816, 154.82885, -46.21122,  19.472
   5413914028749419392, 154.81057, -46.13450,  18.830
   5413911967163242496, 154.71223, -46.24065,  18.634
   5413908466767742976, 154.80511, -46.30737,  19.411
   5413912001522982144, 154.73039, -46.23215,  19.772
   5413916159053159936, 154.96798, -46.15520,  18.998
   5413890324830301312, 155.17791, -46.50021,  19.198
   5413892794430704512, 155.20022, -46.37886,  19.456
   5413911761004811008, 154.72682, -46.25388,  19.506
   5413908531191010944, 154.83185, -46.28616,  19.883
   5413909115306657664, 154.86353, -46.23330,  19.188
   5413894065741154176, 155.14183, -46.28607,  19.940
   5413907809636507648, 154.85283, -46.28411,  19.653
   5413912830458641280, 154.67966, -46.20549,  14.481
   5413908531190999552, 154.82979, -46.29283,  18.631
   5413909184026165120, 154.84954, -46.21659,  19.742
   5413911451769036032, 154.87533, -46.13723,  19.495
   5413912104602201088, 154.73489, -46.21270,  18.892
   5413907332897042048, 154.90167, -46.35012,  18.315
   5413906057290231808, 155.18428, -46.06596,  19.681
   5413912486861269248, 154.77420, -46.16536,  14.677
   5413889843793957632, 155.18168, -46.53818,  17.466
   5413912551278809216, 154.74789, -46.18649,  18.843
   5413915506216430848, 154.70690, -46.04328,  19.108
   5413901762322796160, 155.31911, -46.14496,  19.554
   5413914819021639424, 154.78939, -46.06353,  19.294
   5413895856744446720, 154.97476, -46.34267,  19.770
   5413914170483761792, 154.77168, -46.13819,  17.331
   5413903823907806080, 155.11055, -46.16252,  19.894
   5413912658659959936, 154.74783, -46.16532,  18.541
   5413894478057854464, 154.98265, -46.41231,  19.680
   5413894585434103936, 154.98335, -46.39300,  19.503
   5413912585638546688, 154.72855, -46.18918,  19.601
   5413909699422229632, 154.93082, -46.22229,  19.686
   5413895513147038976, 154.92958, -46.36996,  18.511
   5413894138761155712, 155.03272, -46.45389,  18.812
   5413909836861170560, 154.89033, -46.23027,  17.286
   5413911692286966784, 154.75391, -46.27132,  19.318
   5413911864085746688, 154.77112, -46.22384,  18.382
   5413907298537292288, 154.88595, -46.36704,  19.544
   5413900044335680768, 155.19414, -46.25690,  18.380
   5413913105336549632, 154.65949, -46.18290,  17.678
   5413913105336551040, 154.66175, -46.17717,  17.150
   5413894340618904960, 155.02973, -46.40726,  19.967
   5413913311494985856, 154.64697, -46.13471,  18.819
   5413908879088817664, 154.77314, -46.25181,  16.459
   5413916227772648448, 155.01442, -46.14853,  18.407
   5413899838177229952, 155.21541, -46.26821,  17.618
   5413908604207260928, 154.81453, -46.26924,  19.999
   5413913135394366208, 154.63796, -46.17931,  19.741
   5413907328602730880, 154.89302, -46.34527,  17.770
   5413913925670181888, 154.80363, -46.14696,  18.687
   5413895027813718912, 155.00075, -46.36255,  19.788
   5413914647224806528, 154.82350, -46.07864,  18.986
   5413909119602832640, 154.86536, -46.22071,  18.896
   5413907740917004800, 154.88143, -46.29980,  17.776
   5413908462471510784, 154.78978, -46.30000,  19.558
   5413915334417704448, 154.67570, -46.07267,  19.507
   5413907775276742528, 154.85631, -46.29982,  19.960
   5413907912715695360, 154.88835, -46.30060,  19.841
   5413897742233193088, 154.95497, -46.26830,  17.545
   5413892626929666176, 155.27437, -46.37279,  18.129
   5413913169754113408, 154.63642, -46.16298,  17.808
   5413894340618894464, 155.02859, -46.41831,  19.555
   5413910695854702848, 154.86374, -46.18938,  19.808
   5413894443698107008, 154.97147, -46.42197,  19.095
   5413908771709210496, 154.76895, -46.26820,  18.404
   5413913341552806784, 154.70598, -46.15868,  17.944
   5413895577569543936, 154.90855, -46.35375,  19.322
   5413894306259151616, 155.01959, -46.42374,  19.085
   5413894173117223552, 155.00117, -46.44416,  19.886
   5413895337054921216, 154.97891, -46.38861,  18.630
   5413911864085730560, 154.76398, -46.23201,  19.124
   5413911692286983168, 154.74081, -46.26190,  18.152
   5413913478991773056, 154.72710, -46.14139,  17.712
   5413910047315817088, 154.97649, -46.21634,  19.405
   5413912452496820096, 154.77649, -46.18169,  19.527
   5413907534758564224, 154.88279, -46.30654,  18.529
   5413909768141678208, 154.91176, -46.23893,  18.411
   5413891252540069120, 155.09104, -46.45245,  19.889
   5413913139696285952, 154.63187, -46.18601,  17.828
   5413907706557244928, 154.85718, -46.31313,  19.272
   5413913552008451584, 154.70687, -46.13965,  19.051
   5413896711440971008, 155.05081, -46.30933,  19.227
   5413892489490699520, 155.24795, -46.40127,  19.452
   5413907362959816192, 154.86428, -46.34512,  17.697
   5413908393752018176, 154.82003, -46.30977,  19.287
   5413892004156672128, 155.21514, -46.43287,  18.751
   5413912108899391872, 154.73129, -46.22509,  19.128
   5413914715942397440, 154.80078, -46.08936,  19.289
   5413894237539664768, 155.03147, -46.43643,  19.858
   5413893653425197952, 155.15838, -46.33710,  19.992
   5413898021408039680, 155.01392, -46.25023,  19.499
   5413905546194372096, 155.17277, -46.11114,  17.820
   5413915265698216576, 154.69689, -46.08330,  18.780
   5413915196978739712, 154.72911, -46.08299,  19.782
   5365449205471581696, 155.39277, -47.02064,  19.634
   5365434847391695744, 155.19899, -47.19044,  19.989
   5365433606150228992, 155.02177, -47.23486,  19.084
   5365440306294359296, 154.99838, -47.04158,  17.498
   5414176983825449856, 153.84055, -45.59138,  17.700
   5414171417547739008, 154.06849, -45.71519,  19.649
   5414177361782623232, 153.89883, -45.54744,  18.866
   5414181106994158464, 154.10085, -45.51227,  19.529
   5414171593648052992, 154.03636, -45.71739,  14.748
   5414173105476410752, 153.99336, -45.65005,  17.360
   5413760204501497856, 153.78592, -46.22125,  18.237
